index,Geo_Region_for_Bean,Latitude,Longtitude,Max Temperature,Humidity,Cloudiness
786,Wasatch,40.38,-111.13,23.89,56,1
787,Porcelana,-22.77,-64.3,17.96,90,98
788,La Tronca,43.38,-6.12,12.22,81,20
789,La Dalia,12.86,-87.5,27.42,77,100
790,ESPIRITU SANTO,-3.27,-80.0,21.69,88,9
791,Java,42.4,43.94,20.78,50,87
792,Apurimac,-14.0,-73.0,3.39,100,3
793,Patanemo,10.43,-67.92,25.91,81,100
794,Maracaibo,10.63,-71.64,25.6,82,94
795,Equator,0.0,35.57,11.36,99,5
796,Orinoco,8.31,-62.7,26.11,88,9
797,Granada,37.19,-3.61,15.0,87,75
798,Chuao,10.49,-67.53,18.89,73,100
799,Africa,7.19,21.09,19.72,96,30
800,Madagascar,-20.0,47.0,9.43,84,31
801,Ocumare del Tuy,10.12,-66.78,20.56,73,68
802,Nicaragua,13.0,-85.0,22.53,94,98
803,Hawaiian,10.82,123.01,30.06,67,100
804,Dominican Republic,19.0,-70.67,14.59,100,90
805,Madagascar,-20.0,47.0,9.43,84,31
806,Venezuela,8.0,-66.0,26.21,79,80
807,Ecuador,-2.0,-77.5,20.98,88,0
808,Tanzania,-6.0,35.0,19.91,70,6
809,Dominican Republic,19.0,-70.67,14.59,100,90
810,Ecuador,-2.0,-77.5,20.98,88,0
811,Peru,40.75,-86.07,18.89,77,1
812,Dominican Republic,19.0,-70.67,14.59,100,90
813,Ecuador,-2.0,-77.5,20.98,88,0
