index,Geo_Region_for_Bean,Latitude,Longtitude,Max Temperature,Humidity,Cloudiness
362,Cuyagua,10.48,-67.7,25.38,84,100
363,Granada,37.19,-3.61,15.0,87,75
364,Madagascar,-20.0,47.0,9.43,84,31
365,Arriba,43.52,-5.54,12.22,83,72
366,Puerto Rico,-26.8,-55.02,21.75,85,8
367,Dominican Republic,19.0,-70.67,14.59,100,90
368,Dominican Republic,19.0,-70.67,14.59,100,90
369,Dominican Republic,19.0,-70.67,14.59,100,90
370,Dominican Republic,19.0,-70.67,14.59,100,90
371,Puerto Rico,-26.8,-55.02,21.75,85,8
372,Choroni,10.49,-67.61,25.02,85,100
373,Ocumare del Tuy,10.12,-66.78,20.56,73,68
374,Canoabo,10.31,-68.28,22.28,88,100
375,Costa Rica,-23.42,-54.65,19.68,83,8
376,Vietnam,16.17,107.83,36.0,59,20
377,Ghana,8.0,-2.0,21.77,94,54
378,Madagascar,-20.0,47.0,9.43,84,31
379,Guatemala City,14.64,-90.51,19.0,82,20
380,San Andrés,12.58,-81.7,28.0,78,75
381,Matagalpa,12.93,-85.92,19.77,93,100
382,Palo Blanco,17.4,-99.47,20.01,87,92
383,Palo Blanco,17.4,-99.47,20.01,87,92
384,Marañón,42.63,-2.44,9.44,100,20
385,Marañón,42.63,-2.44,9.44,100,20
386,Marañón,42.63,-2.44,9.44,100,20
387,Marañón,42.63,-2.44,9.44,100,20
388,San Martín,-33.08,-68.47,18.0,12,0
389,Ghana,8.0,-2.0,21.77,94,54
390,Jamaica,22.98,-82.17,24.0,100,40
391,Jamaica,22.98,-82.17,24.0,100,40
392,Jamaica,22.98,-82.17,24.0,100,40
393,Jamaica,22.98,-82.17,24.0,100,40
394,Jamaica,22.98,-82.17,24.0,100,40
395,La Dalia,12.86,-87.5,27.42,77,100
396,La Dalia,12.86,-87.5,27.42,77,100
397,La Dalia,12.86,-87.5,27.42,77,100
398,Barba,43.88,10.97,15.56,93,60
399,Gran Couva,10.4,-61.37,26.11,88,20
400,Marañón,42.63,-2.44,9.44,100,20
401,Peru,40.75,-86.07,18.89,77,1
402,Costa Rica,-23.42,-54.65,19.68,83,8
403,Toledo District,16.33,-88.75,24.35,93,100
404,Estado de Bahia,-12.0,-42.0,16.6,95,13
405,El Carmen,8.51,-73.45,20.1,90,71
406,Ben Tre,10.23,106.38,34.36,48,49
407,Madagascar,-20.0,47.0,9.43,84,31
408,Granada,37.19,-3.61,15.0,87,75
409,Granada,37.19,-3.61,15.0,87,75
410,Granada,37.19,-3.61,15.0,87,75
411,Arriba,43.52,-5.54,12.22,83,72
412,Ghana,8.0,-2.0,21.77,94,54
413,Trinidad,21.8,-79.98,25.0,88,99
414,Haiti,19.0,-72.42,26.0,88,100
415,Nicaragua,13.0,-85.0,22.53,94,98
416,Jamaica,22.98,-82.17,24.0,100,40
417,Ecuador,-2.0,-77.5,20.98,88,0
418,Onyx,35.69,-118.22,27.22,18,7
419,La Santisima Trinidad,-14.83,-64.9,22.1,80,0
420,Ocumare del Tuy,10.12,-66.78,20.56,73,68
421,Los Ríos,18.52,-71.59,25.02,67,100
422,Dominican Republic,19.0,-70.67,14.59,100,90
423,Amazonas,-5.0,-63.0,22.95,97,54
424,Sharkey,33.91,-90.26,20.56,82,1
425,Arriba,43.52,-5.54,12.22,83,72
426,Peru,40.75,-86.07,18.89,77,1
427,Los Rios,-27.42,-65.67,17.19,65,70
428,Maunawili,21.37,-157.77,28.0,61,75
429,Maunawili,21.37,-157.77,28.0,61,75
430,Los Rios,-27.42,-65.67,17.19,65,70
431,Uganda,2.0,33.0,18.72,94,12
432,Venezuela,8.0,-66.0,26.21,79,80
433,Tanzania,-6.0,35.0,19.91,70,6
434,Madagascar,-20.0,47.0,9.43,84,31
435,Venezuela,8.0,-66.0,26.21,79,80
436,Ecuador,-2.0,-77.5,20.98,88,0
437,Peru,40.75,-86.07,18.89,77,1
438,Arriba,43.52,-5.54,12.22,83,72
439,Arriba,43.52,-5.54,12.22,83,72
440,Arriba,43.52,-5.54,12.22,83,72
441,Marañón,42.63,-2.44,9.44,100,20
442,Gran Couva,10.4,-61.37,26.11,88,20
443,Mara,41.29,-1.52,18.0,59,60
444,San Martín,-33.08,-68.47,18.0,12,0
445,Ecuador,-2.0,-77.5,20.98,88,0
446,La Santisima Trinidad,-14.83,-64.9,22.1,80,0
447,Los Ríos,18.52,-71.59,25.02,67,100
448,Los Rios,-27.42,-65.67,17.19,65,70
449,Los Rios,-27.42,-65.67,17.19,65,70
450,Los Rios,-27.42,-65.67,17.19,65,70
451,Ecuador,-2.0,-77.5,20.98,88,0
452,Santo Domingo,18.5,-69.99,27.78,88,75
453,Chuao,10.49,-67.53,18.89,73,100
454,Saint Lucia,13.88,-60.97,28.0,83,40
455,Uganda,2.0,33.0,18.72,94,12
456,Tanzania,-6.0,35.0,19.91,70,6
457,Bolivia,34.07,-78.15,25.56,78,90
458,Bolivia,22.08,-78.34,27.0,78,97
459,Ocumare del Tuy,10.12,-66.78,20.56,73,68
460,Amazonas,-5.0,-63.0,22.95,97,54
461,Chuao,10.49,-67.53,18.89,73,100
462,Choroni,10.49,-67.61,25.02,85,100
463,Porcelana,-22.77,-64.3,17.96,90,98
464,Honduras,15.0,-86.5,18.19,99,99
465,Madagascar,-20.0,47.0,9.43,84,31
466,Peru,40.75,-86.07,18.89,77,1
467,Belize,17.25,-88.75,25.56,72,93
468,Dominican Republic,19.0,-70.67,14.59,100,90
469,Madagascar,-20.0,47.0,9.43,84,31
470,Belize,17.25,-88.75,25.56,72,93
471,Madagascar,-20.0,47.0,9.43,84,31
472,Peru,40.75,-86.07,18.89,77,1
473,Peru,40.75,-86.07,18.89,77,1
